Company Name,Address,Address2,City,Category Name,URL,Hiring,Jobs URL,Why NYC,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
AdTheorent','155 Avenue of the Americas','2nd Floor','New York',,,,,,10013,MANHATTAN,40.725248,-74.004412,2,3,37,1007385,1004910046,SoHo-TriBeCa-Civic Center-Little Italy                                     
Adafruit',"'150 Varick St, New York, NY, 10013'",' - ',' - ',,,,,,,,,,,,,,,
Adam & Luna',' - ',' - ',' - ',,,,,,,,,,,,,,,
Aviary','243 W 30th','St #11','New York',,,,,,,,,,,,,,,
Adaptly','22 West 19th Street','3rd Floor','New York',,,,,,10011,MANHATTAN,40.73948,-73.992332,5,3,54,1015446,1008200026,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Adcade',' - ',' - ',' - ',,,,,,,,,,,,,,,
Adcomm Mobile',' - ',' - ',' - ',,,,,,,,,,,,,,,
AddMee',' - ',' - ',' - ',,,,,,,,,,,,,,,
Adhara',' - ',' - ',' - ',,,,,,,,,,,,,,,
Adkeeper','381 Park Avenue South',' - ','New York',,,,,,10016,MANHATTAN,40.742534,-73.984641,5,2,68,1018159,1008820085,Gramercy                                                                   
"Adkins Capital Management, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
Admeld','One Madison Ave','4th Floor','New York',,,,,,,,,,,,,,,
Admission Advantage',' - ',' - ',' - ',,,,,,,,,,,,,,,
AdmitSee',' - ',' - ',' - ',,,,,,,,,,,,,,,
Admittedly',' - ',' - ',' - ',,,,,,,,,,,,,,,
Adore Me','485 7th Ave #505',' - ','New York',,,,,,10018,MANHATTAN,40.752465,-73.989544,5,3,109,1015235,1008127501,Midtown-Midtown South                                                      
AdoreMe',' - ',' - ',' - ',,,,,,,,,,,,,,,
Adprime Media',' - ',' - ',' - ',,,,,,,,,,,,,,,
Adtivity by Appssavvy','594 Broadway','Suite 207','New York',,,,,,10012,MANHATTAN,40.72496,-73.997157,2,1,43,1007944,1005110012,SoHo-TriBeCa-Civic Center-Little Italy                                     
Adventr',' - ',' - ',' - ',,,,,,,,,,,,,,,
Advicedrop',' - ',' - ',' - ',,,,,,,,,,,,,,,
Advise.me',' - ',' - ',' - ',,,,,,,,,,,,,,,
Advus',' - ',' - ',' - ',,,,,,,,,,,,,,,
Advyzr','119 west 31st street','4th Floor','New York',,,,,,10001,MANHATTAN,40.748238,-73.989952,5,3,101,1015181,1008070028,Midtown-Midtown South                                                      
Advyzr',' - ',' - ',' - ',,,,,,,,,,,,,,,
Adweek','770 Broadway','7th floor','New York',,,,,,10003,MANHATTAN,40.730842,-73.991402,2,2,57,1008952,1005540001,West Village                                                               
Adz Anywhere',' - ',' - ',' - ',,,,,,,,,,,,,,,
"Aereo, Inc.'",'37-18 Northern Boulevard',' - ','Long Island City',,,,,,11101,QUEENS   ,40.752096,-73.925887,1,26,171,4003103,4002140040,Hunters Point-Sunnyside-West Maspeth                                       
AetherWorks','501 Fifth Avenue',' - ','New York',,,,,,10017,MANHATTAN,40.753315,-73.980993,5,4,82,1035342,1012760069,Murray Hill-Kips Bay                                                       
Aethertech',' - ',' - ',' - ',,,,,,,,,,,,,,,
Affinity',' - ',' - ',' - ',,,,,,,,,,,,,,,
Africa Plateforme',' - ',' - ',' - ',,,,,,,,,,,,,,,
Afromedia News Corps',' - ',' - ',' - ',,,,,,,,,,,,,,,
AfterSteps_ny',' - ',' - ',' - ',,,,,,,,,,,,,,,
AfterYes',' - ',' - ',' - ',,,,,,,,,,,,,,,
AgFunder',' - ',' - ',' - ',,,,,,,,,,,,,,,
Agape Academy',' - ',' - ',' - ',,,,,,,,,,,,,,,
Agent Link',' - ',' - ',' - ',,,,,,,,,,,,,,,
Aggregift',' - ',' - ',' - ',,,,,,,,,,,,,,,
Agilitus','350 Manhattan Avenue',' - ','Brooklyn',,,,,,11211,BROOKLYN ,40.71595,-73.94632,1,34,497,3068433,3027490001,East Williamsburg                                                          
Aging2.0',' - ',' - ','New York',,,,,,,,,,,,,,,
Agolo',' - ',' - ',' - ',,,,,,,,,,,,,,,
Agon Creative','538 Grand St','2nd Floor','Brooklyn',,,,,,11211,BROOKLYN ,40.711055,-73.949981,1,34,513,3069501,3027850018,North Side-South Side                                                      
"AgooBiz, Inc [AgooBiz.com]'",' - ',' - ',' - ',,,,,,,,,,,,,,,
Agronomic Technology Corp.',' - ',' - ',' - ',,,,,,,,,,,,,,,
Agyx','110 Wall Street','11 Floor','New York',,,,,,10005,MANHATTAN,40.704638,-74.006694,1,1,7,1000872,1000370008,Battery Park City-Lower Manhattan                                          
Ahhdio',' - ',' - ',' - ',,,,,,,,,,,,,,,
Ahii: Another story about a girl...',' - ',' - ',' - ',,,,,,,,,,,,,,,
Applied Science & Technology Research Organization',' - ',' - ',' - ',,,,,,,,,,,,,,,
Ai Media Group','483 10th Avenue','4th Floor','New York',,,,,,10018,MANHATTAN,40.756401,-73.997834,4,3,99,1012494,1007080037,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Aidin',' - ',' - ',' - ',,,,,,,,,,,,,,,
AirBnB',' - ',' - ',' - ',,,,,,,,,,,,,,,
AirKast','610 Fifth Avenue','Suite 610','New York',,,,,,10020,MANHATTAN,40.75801,-73.977595,5,4,104,1082656,1012650050,Midtown-Midtown South                                                      
Airto',' - ',' - ',' - ',,,,,,,,,,,,,,,
Airto Inc',' - ',' - ',' - ',,,,,,,,,,,,,,,
Aisle in Style',' - ',' - ',' - ',,,,,,,,,,,,,,,
Ajungo.com',' - ',' - ',' - ',,,,,,,,,,,,,,,
Akamai Technologies','352 Park Avenue South','8th Floor','New York',,,,,,10010,MANHATTAN,40.74176,-73.98523,5,2,56,1016745,1008550016,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Akilah',' - ',' - ',' - ',,,,,,,,,,,,,,,
Akimbo',' - ',' - ',' - ',,,,,,,,,,,,,,,
"Aksel Group, Inc'",'52 Walker Street 3rd Floor',' - ','New York',,,,,,10013,MANHATTAN,40.71899,-74.003308,1,1,33,1002287,1001940005,SoHo-TriBeCa-Civic Center-Little Italy                                     
Akyumen',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alacra Inc','100 Broadway','#1101','New York',,,,,,10005,MANHATTAN,40.70814,-74.011373,1,1,7,1001024,1000460003,Battery Park City-Lower Manhattan                                          
"Albatross Digital, LLC'",'155 Water Street',' - ','Brooklyn',,,,,,11201,BROOKLYN ,40.703147,-73.987864,2,33,21,3000026,3000290016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Albert Herrera',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alchematter',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alchemy50','20 Jay Street','Suite 934','Brooklyn',,,,,,11201,BROOKLYN ,40.704313,-73.986587,2,33,21,3000010,3000190001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Alcohoot',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alcohoot LLC',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alexander Berardi',' - ',' - ',' - ',,,,,,,,,,,,,,,
AlgoPrice',' - ',' - ',' - ',,,,,,,,,,,,,,,
"Align Communications, Inc.'",'55 Broad Street','6th Floor','New York',,,,,,10004,MANHATTAN,40.705189,-74.011505,1,1,9,1000821,1000250001,Battery Park City-Lower Manhattan                                          
All Veggiez!',' - ',' - ',' - ',,,,,,,,,,,,,,,
All You Need Staffing Registry',' - ',' - ',' - ',,,,,,,,,,,,,,,
AllOut.org',' - ',' - ','New York',,,,,,,,,,,,,,,
"AllStar Deals, Inc.'",' - ',' - ',' - ',,,,,,,,,,,,,,,
AllTheRooms',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alla Simoneau's Company',' - ',' - ',' - ',,,,,,,,,,,,,,,
AllazoHealth',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alley Interactive','1133 Broadway','Suite 630','New York',,,,,,10010,MANHATTAN,40.743523,-73.989073,5,3,58,1015625,1008270049,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Alley Technology',' - ',' - ',' - ',,,,,,,,,,,,,,,
AlleyWatch',' - ',' - ',' - ',,,,,,,,,,,,,,,
AlleyWire',' - ',' - ',' - ',,,,,,,,,,,,,,,
Allmenus','39 West 19th Street','7th Floor','New York',,,,,,10011,MANHATTAN,40.739666,-73.992725,5,3,54,1015465,1008210014,Hudson Yards-Chelsea-Flatiron-Union Square                                 
"Allovate, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
Alloy Digital','151 West 26th Street',' - ','New York',,,,,,10001,MANHATTAN,40.745428,-73.992872,5,3,95,1015034,1008020008,Midtown-Midtown South                                                      
Alluring Logic',' - ',' - ',' - ',,,,,,,,,,,,,,,
Allyson Ivy',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alpha Airlines',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alpha Hat',' - ',' - ',' - ',,,,,,,,,,,,,,,
AlphaBoost (AdVerify)','122 West 26th Street','5th Floor','New York',,,,,,10001,MANHATTAN,40.745164,-73.992295,4,3,91,1015021,1008010055,Hudson Yards-Chelsea-Flatiron-Union Square                                 
AlphaIntelX',' - ',' - ',' - ',,,,,,,,,,,,,,,
AlphaSights',' - ',' - ',' - ',,,,,,,,,,,,,,,
"Alquimi Innovations, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
Alset',' - ',' - ',' - ',,,,,,,,,,,,,,,
Altah',"'1412 Broadway, 22nd Fl'",' - ','New York',,,,,,10018,MANHATTAN,40.753711,-73.987046,5,4,113,1080611,1008150014,Midtown-Midtown South                                                      
Alton Lane',' - ',' - ',' - ',,,,,,,,,,,,,,,
Altruik','341 West 38th Street','8th Floor','New York',,,,,,10018,MANHATTAN,40.755237,-73.992864,4,3,115,1013637,1007620011,Clinton                                                                    
AlumVest',' - ',' - ',' - ',,,,,,,,,,,,,,,
AlumniChoose',' - ',' - ',' - ',,,,,,,,,,,,,,,
Alvadon',' - ',' - ',' - ',,,,,,,,,,,,,,,
Amasty',' - ',' - ',' - ',,,,,,,,,,,,,,,
Amazon Web Services',"'1350 Avenue of Americas, New York, NY, 10019'",' - ',' - ',,,,,,,,,,,,,,,
Ambertracks Technology Inc.  DBA: Monstress Zenergy Drink',' - ',' - ',' - ',,,,,,,,,,,,,,,
Ambigâˆšâˆ« Empanada Bar',' - ',' - ',' - ',,,,,,,,,,,,,,,
Amer Pharmacy Corp.',' - ',' - ',' - ',,,,,,,,,,,,,,,
"AmerIsrael Capital Management, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
"America's Amazing Teens, LLC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
America's Amazing Teensâ€šÃ‘Â¢',' - ',' - ',' - ',,,,,,,,,,,,,,,
American Capital Group',' - ',' - ',' - ',,,,,,,,,,,,,,,
American Civics Exchange',' - ',' - ',' - ',,,,,,,,,,,,,,,
American Lawyer Media','120 Broadway','5th Floor','New York',,,,,,10271,MANHATTAN,40.708546,-74.011041,1,1,7,1001026,1000477501,Battery Park City-Lower Manhattan                                          
"American Prison Data Systems, PBC'",' - ',' - ',' - ',,,,,,,,,,,,,,,
American Story Channel LLC',' - ',' - ',' - ',,,,,,,,,,,,,,,
American Woman Publishing LLC',' - ',' - ',' - ',,,,,,,,,,,,,,,
Avua Cachaca',' - ',' - ',' - ',,,,,,,,,,,,,,,
Awar3',' - ',' - ',' - ',,,,,,,,,,,,,,,
